あきはつる ひたのかけなは ひきすてて のこるたのもの いほのさひしさ
あきはてて しくれふりぬる われなれは ちることのはを なにかうらみむ
あきはなほ いかにかるもの みたるらむ つゆにふすゐの とこのやまかせ
あきはなほ このしたかけも くらかりき つきはふゆこそ みるへかりけれ
あきはなほ のこりおほかる としなれと こよひのつきの なこそをしけれ
あきはなほ わかみならねと たかさこの をのへのしかも つまそこふらし
あきはまた あさちかすゑの ゆふかせに わかそてかけて つゆけかるらむ
あきはみな おもふことなき をきのはも すゑたわむまて つゆはおくめり
あきふかき あはちのしまの ありあけに かたふくつきを おくるうらかせ
あきふかき しもよのつきの ありあけに たえてつれなく うつころもかな
あきふかき とこのやまかせ みにしみて つきかけさむき よはのたまくら
あきふかき まかきのつゆも にほふなり はなよりつたふ きくのしつくに
あきふかき もみちのぬさの からにしき けふもたむけの やまそしくるる
あきふかき やまたのなるこ おしなへて をさまれるよの ためしにそひく
あきふかき やまよりやまに わけいれは なほいろそへる もみちをそみる
あきふかき をののあさちの つゆなから すゑはにあまる むしのこゑかな
あきふかく しくるるにしの やまかせに みなさそはれて ゆくこのはかな
あきふかく なりにけらしな きりきりす ゆかのあたりに こゑきこゆなり
あきふかく なりゆくすまの うらかせに せきもるひとや よさむなるらむ
あきふかく なりゆくのへの むしのねは きくひとさへそ つゆけかりける
あきふかみ たそかれときの ふちはかま にほふはなのる ここちこそすれ
あきふかみ はなちるはきは もとすきて のこるすゑはの いろそさひしき
あきふかみ もみちおちしく あしろきは ひをのよるさへ あかくみえけり
あきふかみ よわるはむしの こゑのみか きくわれとても たのみやはある
あきふくる あさちかにはの きりきりす よやさむからし こゑよわりゆく
あきふけぬ なけやしもよの きりきりす ややかけさむし よもきふのつき
あきまては ふしのたかねに みしゆきを わけてそこゆる あしからのせき
あきもあき こよひもこよひ つきもつき ところもところ みるきみもきみ
あきもなほ あまのかはらに たつなみの よるそみしかき ほしあひのそら
あきもはや よさむにふくる つきかけを はらはぬしもと うつころもかな
あきやまに こひするしかの こゑたてて なきそしぬへき きみかこぬよは
